STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,56269948,Brigham,De Beauchamp,Nam,9/8/2001,223828211
2,90524616,Tatum,Seefeldt,Nam,20/06/2002,492484116
3,17984641,Charyl,Buttrey,Nam,28/05/2002,642586375
4,61378868,Abeu,Windeatt,Nu,25/10/2000,453770559
5,76596022,Jackie,Iacovo,Nu,5/7/2002,300448851
6,26209623,Dania,Vice,Nam,22/04/2000,778453574
7,50080653,Alisun,Bantick,Nu,2/10/2002,594016335
8,81255603,Meggie,Mulliner,Nu,5/8/2001,373282339
9,94485422,Maurene,Spawton,Nam,12/11/2001,233691320
10,76018798,Tyrone,Olliffe,Nu,4/9/2001,381229732
