STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,59250616,Giselle,Albrooke,Nam,9/7/2001,13184970
2,67733631,Rand,Hart,Nu,23/04/2001,333164895
3,38256317,Piggy,Oldfield,Nu,9/11/2001,376958973
4,20841930,Gui,Thorald,Nam,11/3/2000,495038056
5,92971778,Cati,Knoles,Nam,13/05/2001,474184312
6,45536650,Arch,Arnson,Nam,23/05/2002,417601362
7,66774001,Abbie,Patrick,Nam,2/11/2001,655386669
8,44219348,Hillary,Ives,Nu,16/12/2000,782498431
9,95984540,Carmine,Hellings,Nam,11/3/2002,218862730
10,92255150,Jeff,Towne,Nu,9/5/2000,366364269
