STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,21149479,Paulie,Potteridge,Nu,18/02/2002,10312706
2,61693330,Justina,Alldread,Nam,21/11/2000,54342095
3,45467460,Olivero,Tyce,Nam,18/06/2001,489801048
4,11381501,Wallie,Flippelli,Nu,12/2/2000,939245665
5,74604108,Eve,Beesley,Nam,7/1/2001,335979744
6,61601421,Georgianne,Bolderoe,Nu,29/11/2002,905003725
7,84532755,Kerrin,Bodimeade,Nu,11/7/2001,387101905
8,22095742,Omero,Loffhead,Nu,17/09/2002,13271939
9,42583576,Clarinda,Minucci,Nam,28/09/2001,451379549
10,20298783,Leif,Castanares,Nam,21/01/2000,456680504
