STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,95540289,Patricia,Myrkus,Nu,11/1/2000,938476477
2,27082165,Micki,Grigoliis,Nu,24/01/2001,347081462
3,61965587,Pennie,Doret,Nam,29/09/2001,488858675
4,35089619,Minta,Roubay,Nam,2/12/2001,734497372
5,46913517,Kellie,Blunsden,Nu,20/07/2000,2947668
6,47583394,Jackie,Lean,Nam,14/01/2000,158408915
7,66952142,Alexa,Edmondson,Nu,24/03/2002,855228519
8,62367293,Almeda,Annice,Nu,16/11/2000,619531340
9,59584404,Sallyanne,Hempshall,Nam,24/01/2002,044968501
10,36719502,Joana,Peoples,Nu,21/06/2000,299035943
