STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,62813426,Bettina,Aplin,Nam,25/03/2002,465522163
2,36604847,Les,Sturley,Nu,23/09/2002,246148104
3,61758959,Efren,Gillani,Nam,20/12/2002,880037438
4,41017036,Erastus,Mogey,Nam,15/09/2001,979753686
5,13912741,Avram,Middlewick,Nu,21/10/2002,358576102
6,95847121,Hobey,TRUE,Nam,8/5/2000,486504662
7,93198071,Anton,Kinnach,Nu,24/01/2002,829141907
8,50592170,Debbi,Mcwhinney,Nu,1/5/2000,305368423
9,10748046,Georg,Nusche,Nam,13/12/2002,033616749
10,41561985,Sadye,Symson,Nam,8/3/2002,571760935
