STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,12274378,Adrianna,Pearsey,Nu,21/07/2000,805299363
2,10235996,Rhodie,Dodshon,Nu,9/8/2002,224648105
3,24633332,Caroljean,Fazakerley,Nu,13/06/2000,506238073
4,18541678,Allina,Castanho,Nu,13/07/2000,278859368
5,31976386,Tulley,Edyson,Nu,8/1/2001,179983963
6,50381073,Elonore,Caplis,Nu,15/02/2000,614298484
7,16654901,Cahra,Gohn,Nu,10/2/2000,784201600
8,16749384,Townie,Franscioni,Nam,1/7/2002,477722153
9,79509937,Corinne,Alelsandrowicz,Nu,6/12/2002,825578406
10,72891677,Kathe,Teal,Nu,4/1/2000,730377640
