STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,72505323,Orlan,Clampton,Nam,24/03/2000,844464859
2,43613800,Pam,Fittes,Nu,8/1/2002,167908424
3,97407544,Angus,Ells,Nu,27/08/2000,671305184
4,18886479,Shel,Cheal,Nu,11/7/2002,517889080
5,11861644,Giuditta,Albrooke,Nu,27/10/2001,831892099
6,68111890,Roth,Hunsworth,Nu,16/03/2002,357096911
7,39156716,Robb,Oseman,Nam,4/7/2002,482875343
8,60749293,Silvano,Hebner,Nu,29/11/2002,317467239
9,78558387,Angelle,Bonsale,Nam,15/06/2002,07331928
10,84111941,Carmita,Perview,Nam,18/09/2000,030780528
