STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,37070284,Hort,Bautiste,Nam,8/11/2002,156045144
2,11924259,Cyrill,Tomaskunas,Nu,21/03/2002,972361338
3,40492748,Arley,Stammers,Nam,1/9/2002,47930503
4,80700928,Darren,Mullin,Nu,7/2/2000,708142468
5,56478726,Conny,Haughey,Nam,8/5/2002,870061946
6,82672261,Penn,Dalgetty,Nam,27/10/2001,550841125
7,66654114,Jo,Bearcroft,Nu,7/6/2000,801137265
8,71194887,Eliza,Onion,Nam,15/07/2000,123360246
9,80558395,Lia,Delgua,Nam,10/3/2000,79992581
10,13924650,Auroora,Searight,Nam,12/12/2000,827449308
