STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,45628078,Rey,Mahy,Nu,17/06/2002,966908152
2,13462565,Pate,Benet,Nam,31/05/2001,206532761
3,92249766,Dav,Sheraton,Nu,24/09/2001,315476878
4,65217255,Sidonnie,Thickin,Nu,3/8/2002,479018991
5,39651282,Amabelle,Melchior,Nu,30/07/2002,386485039
6,98883431,Leilah,Stimson,Nam,17/05/2002,828431488
7,29261875,Sawyere,Westcarr,Nam,11/4/2000,575092801
8,84794780,Lotti,Guymer,Nu,30/09/2000,193075488
9,45889122,Paxton,Fitchen,Nu,5/3/2000,152308274
10,30358273,Jacqueline,Degg,Nam,30/08/2002,49914889
