STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,55665463,Margot,Cauldwell,Nam,06/03/2003,518657591
2,57045997,Rockwell,Castellet,Nam,07/02/2003,258601948
3,33800901,Jeno,Beyne,Nam,21/02/2003,850232381
4,52492844,Nikkie,Killoran,Nam,25/01/2003,530110010
5,33588736,Joey,Clawley,Nam,10/07/2003,420373102
6,51067518,Binny,Deners,Nam,22/02/2003,574437033
7,37122932,Davida,Raspison,Nam,21/09/2003,852604728
8,31061596,Edie,Cerro,Nam,25/02/2003,920656228
9,54931860,Valentina,Paolino,Nam,20/06/2003,835963798
10,30121630,Charmion,Dominik,Nam,01/11/2003,385834999
11,48717174,Waverley,Perett,Nam,30/06/2003,473743620
12,46047190,Mitch,Garza,Nu,17/11/2003,390048505
13,35552183,Jaclin,Neeve,Nu,05/10/2003,275290599
14,43272983,Mandi,Shipton,Nam,25/08/2003,514354428
