STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,36875042,Norbert,Trahmel,Nam,07/03/2003,242428496
2,30040737,Howard,Lantaff,Nam,28/04/2003,948765306
3,38026149,Dyane,Kerton,Nam,01/05/2003,770885011
4,50849488,Emlyn,Paynton,Nu,21/11/2003,155556071
5,44773512,Tadio,Hexam,Nam,15/08/2003,902047491
6,50566916,Kylynn,Blackall,Nam,08/04/2003,919227315
7,53218790,Alfonse,Allardyce,Nam,19/11/2003,323304722
8,50855459,Simonette,Browne,Nu,19/04/2003,457726324
9,44150990,Hyacintha,Seiffert,Nam,19/03/2003,919050162
10,34911211,Halli,Lethbrig,Nam,03/05/2003,292924687
11,48948958,Gillian,Blazeby,Nu,02/08/2003,316125682
12,50292990,Reeva,Prugel,Nam,25/08/2003,492126574
13,48919839,John,Cordell,Nam,08/08/2003,732843492
14,50824855,Artur,Byrom,Nam,02/03/2003,949326966
15,31316055,Joleen,Haszard,Nu,01/05/2003,866713790
