STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,42791528,Skipper,Milby,Nu,16/01/2003,215414330
2,58641378,Petey,Furze,Nam,11/04/2003,843646164
3,35125355,Petey,Postles,Nam,23/03/2003,303206517
4,56728219,Anjanette,Mc Meekan,Nam,03/05/2003,476831228
5,54546534,Burton,Lenham,Nam,16/04/2003,646756696
6,52069428,Flo,Girkin,Nam,16/09/2003,873268435
7,53035823,Thorvald,Beaven,Nam,30/01/2003,239954970
8,47253007,Lazare,Andrassy,Nu,15/02/2003,835872918
9,40730358,Felic,Rushbrooke,Nam,12/06/2003,225146377
10,44017436,Farand,Durnian,Nam,12/04/2003,754334959
11,40027977,Zelda,Plowell,Nam,10/06/2003,773128187
12,34418543,Giffard,Jouanot,Nam,18/04/2003,771341204
13,55233532,Bell,Robuchon,Nam,23/11/2003,729412726
