STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,59120714,Koren,Colhoun,Nam,07/03/2003,791764299
2,51922705,Drucie,Jellard,Nam,20/11/2003,517750079
3,45736793,Ketty,Crothers,Nam,07/11/2003,860186568
4,47701273,Lanna,Chang,Nam,22/10/2003,341796520
5,38616695,Lars,Littlefield,Nam,19/08/2003,754106274
6,55091799,Dana,Halfpenny,Nam,06/07/2003,135472031
7,30579316,Mack,Moynihan,Nam,22/11/2003,279456749
8,58106104,Gradeigh,Meechan,Nam,07/06/2003,231236966
9,32164317,Rossie,Dunican,Nam,21/10/2003,508772873
10,53578453,Kandy,Ferbrache,Nam,05/05/2003,566497637
11,55695247,Rozella,Brunesco,Nam,22/12/2003,594211758
12,51677869,Ervin,Croxon,Nam,16/08/2003,190482086
13,37766083,Adina,Birkwood,Nam,21/01/2003,435972819
14,38165172,Gino,Hughes,Nam,18/11/2003,987533775
