STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,37919991,Damon,Remmer,Nam,26/03/2003,379996419
2,53617087,Roth,Tomovic,Nam,30/08/2003,931516782
3,51139789,Odelinda,Grolmann,Nam,05/01/2003,195025154
4,54775523,Petronille,Burnhard,Nam,29/08/2003,582137948
5,54757589,Evangelina,Diego,Nu,14/07/2003,528797501
6,49907872,Clair,Nutting,Nam,14/10/2003,262790771
7,30848220,Faith,Woolway,Nam,12/04/2003,249086306
8,44702795,Perrine,Scotchmoor,Nam,20/07/2003,266338557
9,55427781,Dede,Lineen,Nam,17/12/2003,364231789
10,50361421,Ethelred,Tullett,Nam,11/12/2003,515736880
11,38005593,Kevyn,Wynne,Nam,20/08/2003,482645253
12,39005120,Teodoro,Buckle,Nu,24/04/2003,999684100
13,58681156,Ave,Bertelmot,Nu,27/02/2003,611563425
14,33142298,Marj,Binding,Nam,28/06/2003,162364642
