STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,38676606,Hamel,Meace,Nam,11/11/2003,806782362
2,32533908,Jacquelynn,Cave,Nu,13/04/2003,393184462
3,44509738,Ramsey,Roscamps,Nam,09/10/2003,575636999
4,48254684,Jaymee,Riccio,Nam,09/10/2003,667659128
5,56038675,Rubin,Scutts,Nam,16/03/2003,199798493
6,44436233,Isadore,Brislen,Nam,06/08/2003,636021097
7,48945837,Elberta,Coole,Nam,13/01/2003,977525358
8,51704544,Cathlene,MacGibbon,Nam,08/12/2003,889937599
9,50661946,Giselbert,Robelin,Nam,14/07/2003,792414876
10,38794168,Glynnis,Novelli,Nam,15/06/2003,995270198
11,51005354,Stacie,Tidey,Nam,22/03/2003,861996029
12,54205426,Layne,McNeice,Nam,16/04/2003,613574836
