STT, ID, FirstName, LastName,Gender,DOB,SocialID
1,33953179,Pieter,Kemwall,Nam,04/04/2003,761840807
2,43168304,Yanaton,Boxe,Nam,21/02/2003,520055137
3,56533430,Elvina,Menauteau,Nu,20/07/2003,915231560
4,35718449,Mozes,Raisbeck,Nam,28/12/2003,940252275
5,49133804,Madelon,Armer,Nam,04/09/2003,904933796
6,47058072,Deb,Joules,Nam,21/11/2003,685996667
7,38454767,Nadya,Ochterlony,Nam,23/01/2003,688099653
8,41013880,Candra,Dibling,Nam,24/01/2003,463215590
9,41441669,Norby,Defau,Nam,09/08/2003,433925003
10,42744028,Lock,Ellerker,Nam,16/04/2003,210998841
11,38363282,Drusie,Girardengo,Nam,01/11/2003,103346367
