STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
<<<<<<< HEAD
1,36639526,Homerus,Styan,7.6,9,2,9
2,95540289,Patricia,Myrkus,7.4,8,6,7
3,27082165,Micki,Grigoliis,3.4,1,4,10
4,61965587,Pennie,Doret,3.4,5,1,1
5,35089619,Minta,Roubay,7.2,9,7,2
6,46913517,Kellie,Blunsden,7.2,9,8,1
7,47583394,Jackie,Lean,3.2,1,3,10
8,66952142,Alexa,Edmondson,6.8,8,5,5
9,62367293,Almeda,Annice,2.4,3,2,1
10,59584404,Sallyanne,Hempshall,6.2,8,2,5
11,36719502,Joana,Peoples,6.2,5,6,10
12,62813426,Bettina,Aplin,8.6,10,9,4
13,36604847,Les,Sturley,7,8,4,7
14,61758959,Efren,Gillani,3.6,4,1,5
15,41017036,Erastus,Mogey,7.8,8,8,7
16,13912741,Avram,Middlewick,5,5,2,8
17,95847121,Hobey,TRUE,7.8,10,5,4
18,93198071,Anton,Kinnach,9,10,7,8
19,50592170,Debbi,Mcwhinney,8.8,8,10,10
20,10748046,Georg,Nusche,7,8,7,4
21,41561985,Sadye,Symson,7.8,9,4,8
22,45628078,Rey,Mahy,3.2,3,6,1
23,13462565,Pate,Benet,7.4,9,9,1
24,92249766,Dav,Sheraton,8.6,9,9,7
25,65217255,Sidonnie,Thickin,8.4,8,10,8
26,30358273,Jacqueline,Degg,4.4,2,9,7
27,37070284,Hort,Bautiste,7.6,8,8,6
28,11924259,Cyrill,Tomaskunas,5.4,4,6,9
29,40492748,Arley,Stammers,8.4,9,8,7
30,80700928,Darren,Mullin,7.8,10,3,6
31,56478726,Conny,Haughey,5.8,8,3,2
32,82672261,Penn,Dalgetty,4.8,4,5,7
33,66654114,Jo,Bearcroft,7.6,9,3,8
34,71194887,Eliza,Onion,4,5,3,2
35,80558395,Lia,Delgua,4.4,3,9,4
36,13924650,Auroora,Searight,7.4,9,2,8
37,12341234,Nguyen,A,3,4,1,2
38,20120471,Nguyen Van,A,6.2,8,3,4
39,20120484,Tran Van,B,8,10,10,0
40,12341231,Tran,Tho,8,9,5,8
41,20120470,Nguyen Van,Hao,2.4,1,8,1
42,12315516,Tran,Huu,4.8,4,2,10
43,12314515,Tran,Hung,6.6,7,5,7
44,20120789,Nguyen Thi,C,7.6,10,6,2
45,12341235,Tran,Nam,4.4,3,4,9
46,34924137,Madella,Perett,8.4,9,9,6
47,38115133,Merle,Le Merchant,5.2,5,6,5
48,59924374,Leena,Goldsworthy,8.8,8,10,10
49,46497505,Erin,Annion,6.4,7,3,8
50,55823559,Martin,Rolinson,7.8,7,9,9
51,58671692,Phoebe,Karpychev,4.2,6,3,0
52,54999499,Xylia,Trower,1.8,2,2,1
53,38676606,Hamel,Meace,6,7,7,2
54,32533908,Jacquelynn,Cave,3.6,4,4,2
55,44509738,Ramsey,Roscamps,3.4,2,5,6
56,48254684,Jaymee,Riccio,3.4,4,3,2
57,56038675,Rubin,Scutts,5.8,6,9,2
58,44436233,Isadore,Brislen,5.4,5,8,4
59,48945837,Elberta,Coole,8.2,10,5,6
60,51704544,Cathlene,MacGibbon,3.6,3,5,4
61,50661946,Giselbert,Robelin,5.6,4,7,9
62,38794168,Glynnis,Novelli,1.4,2,1,0
63,51005354,Stacie,Tidey,3.8,5,3,1
64,54205426,Layne,McNeice,6.2,7,1,9
65,37919991,Damon,Remmer,8,10,3,7
66,53617087,Roth,Tomovic,7.8,10,9,0
67,51139789,Odelinda,Grolmann,8.4,9,9,6
68,54775523,Petronille,Burnhard,3.4,2,5,6
=======
1,,,,0,0,0,0
>>>>>>> 6bd62697da94e4b01504c6d298ba4c9511d875de
