STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,38005593,Kevyn,Wynne,7.4,10,7,0
2,39005120,Teodoro,Buckle,6.4,8,3,5
3,58681156,Ave,Bertelmot,4.2,5,3,3
4,33142298,Marj,Binding,2.2,1,4,4
5,42791528,Skipper,Milby,7.6,8,10,4
6,58641378,Petey,Furze,5.6,7,1,6
7,35125355,Petey,Postles,5.6,7,4,3
8,56728219,Anjanette,Mc Meekan,9.2,10,9,7
9,54546534,Burton,Lenham,5,3,6,10
10,52069428,Flo,Girkin,7.2,8,6,6
11,53035823,Thorvald,Beaven,6.4,7,3,8
12,47253007,Lazare,Andrassy,1.8,1,5,1
13,40730358,Felic,Rushbrooke,6.4,8,3,5
14,44017436,Farand,Durnian,5.2,5,5,6
15,40027977,Zelda,Plowell,6.6,7,8,4
16,34418543,Giffard,Jouanot,6.2,6,10,3
17,55233532,Bell,Robuchon,4.8,4,3,9
18,36875042,Norbert,Trahmel,7.6,7,9,8
19,30040737,Howard,Lantaff,5,6,4,3
20,38026149,Dyane,Kerton,3.6,2,10,2
21,50849488,Emlyn,Paynton,8,9,5,8
22,44773512,Tadio,Hexam,3.6,2,7,5
23,50566916,Kylynn,Blackall,7,6,9,8
24,53218790,Alfonse,Allardyce,4.6,4,10,1
25,50855459,Simonette,Browne,4,6,1,1
26,44150990,Hyacintha,Seiffert,3.8,4,5,2
27,34911211,Halli,Lethbrig,3.6,3,7,2
28,48948958,Gillian,Blazeby,4,2,6,8
29,50292990,Reeva,Prugel,7.2,9,7,2
30,48919839,John,Cordell,1.6,1,1,4
31,50824855,Artur,Byrom,9,9,9,9
32,31316055,Joleen,Haszard,6.8,6,7,9
33,33953179,Pieter,Kemwall,5.6,8,4,0
