STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,59120714,Koren,Colhoun,0,0,0,0
2,51922705,Drucie,Jellard,0,0,0,0
3,45736793,Ketty,Crothers,0,0,0,0
4,47701273,Lanna,Chang,0,0,0,0
5,38616695,Lars,Littlefield,0,0,0,0
6,55091799,Dana,Halfpenny,0,0,0,0
7,30579316,Mack,Moynihan,0,0,0,0
8,58106104,Gradeigh,Meechan,0,0,0,0
9,32164317,Rossie,Dunican,0,0,0,0
10,53578453,Kandy,Ferbrache,0,0,0,0
11,55695247,Rozella,Brunesco,0,0,0,0
12,51677869,Ervin,Croxon,0,0,0,0
13,37766083,Adina,Birkwood,0,0,0,0
14,38165172,Gino,Hughes,0,0,0,0
15,42794249,Leeland,Deverson,0,0,0,0
16,57467150,Gratia,Crispe,0,0,0,0
17,33910687,Kristofer,Redgrove,0,0,0,0
18,44436233,Isadore,Brislen,0,0,0,0
19,48945837,Elberta,Coole,0,0,0,0
20,51704544,Cathlene,MacGibbon,0,0,0,0
21,50661946,Giselbert,Robelin,0,0,0,0
22,38794168,Glynnis,Novelli,0,0,0,0
23,51005354,Stacie,Tidey,0,0,0,0
24,54205426,Layne,McNeice,0,0,0,0
25,37919991,Damon,Remmer,0,0,0,0
26,53617087,Roth,Tomovic,0,0,0,0
27,51139789,Odelinda,Grolmann,0,0,0,0
28,54775523,Petronille,Burnhard,0,0,0,0
29,54757589,Evangelina,Diego,0,0,0,0
30,49907872,Clair,Nutting,0,0,0,0
31,30848220,Faith,Woolway,0,0,0,0
32,44702795,Perrine,Scotchmoor,0,0,0,0
