STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,56269948,Brigham,De Beauchamp,2.6,3,1,3
2,90524616,Tatum,Seefeldt,4.8,3,6,9
3,17984641,Charyl,Buttrey,2.2,1,2,6
4,61378868,Abeu,Windeatt,6.6,7,4,8
5,76596022,Jackie,Iacovo,7.6,8,4,10
6,26209623,Dania,Vice,3.2,2,1,9
7,50080653,Alisun,Bantick,5.6,4,10,6
8,81255603,Meggie,Mulliner,5.2,5,1,10
9,94485422,Maurene,Spawton,4.2,5,2,4
10,76018798,Tyrone,Olliffe,5,3,10,6
11,59250616,Giselle,Albrooke,4.4,5,5,2
12,67733631,Rand,Hart,3.8,3,2,8
13,38256317,Piggy,Oldfield,5.2,5,1,10
14,20298783,Leif,Castanares,4,2,10,4
15,72629021,Merrielle,Orht,8.2,10,10,1
16,24922870,Hettie,Itshak,3,1,3,9
17,28623309,Margaux,Tomankowski,4,3,7,4
18,32061142,Enoch,Frape,7.2,7,9,6
19,17202127,Duffy,Smowton,4.4,1,9,10
20,73127172,Nan,Baigent,4.4,5,1,6
21,89995994,Sandye,Peteri,3.6,3,7,2
22,51931613,Mirella,Seiter,4.4,5,5,2
23,59941127,Randi,Gummow,7.6,10,6,2
24,30794126,Marcia,Melato,4.6,6,4,1
25,68812883,Garrard,Mettricke,1.6,2,2,0
26,65614125,Merry,Bartalin,2.8,3,5,0
27,37437371,Thaine,Vennings,8,7,10,9
28,38130689,Ethelin,De Ruggero,6.8,5,10,9
29,76919412,Shaw,Gatcliff,7.2,10,3,3
30,97516200,Tobe,Vannucci,7,8,7,4
31,70456329,Jessy,Kaindl,3.4,1,9,5
32,43448607,Jean,Ledwich,3.4,2,7,4
33,57058914,Kirk,McQuorkel,6,8,1,5
34,42769437,Zorah,Kasper,4.8,2,10,8
35,87585921,Oralee,Clynmans,6,7,7,2
36,50039293,Franklin,Freshwater,5.2,3,9,8
37,16787540,Jobi,Darko,4,3,10,1
38,36639526,Homerus,Styan,3.8,5,2,2
39,95540289,Patricia,Myrkus,8.6,9,8,8
40,27082165,Micki,Grigoliis,4.8,6,5,1
41,61965587,Pennie,Doret,2.4,1,6,3
42,35089619,Minta,Roubay,6.6,6,8,7
43,46913517,Kellie,Blunsden,8.4,10,7,5
44,47583394,Jackie,Lean,8.8,9,7,10
45,66952142,Alexa,Edmondson,8,9,3,10
46,62367293,Almeda,Annice,7.8,10,9,0
47,59584404,Sallyanne,Hempshall,3.4,5,2,0
48,36719502,Joana,Peoples,4.2,5,1,5
49,62813426,Bettina,Aplin,1.8,2,1,2
50,36604847,Les,Sturley,5.6,4,8,8
51,61758959,Efren,Gillani,7,7,4,10
52,41017036,Erastus,Mogey,5.6,8,2,2
53,13912741,Avram,Middlewick,8.4,8,9,9
54,95847121,Hobey,TRUE,6.2,7,2,8
55,93198071,Anton,Kinnach,6.2,8,1,6
56,50592170,Debbi,Mcwhinney,9.8,10,10,9
57,10748046,Georg,Nusche,7.4,9,8,2
58,41561985,Sadye,Symson,5,6,7,0
59,45628078,Rey,Mahy,6.8,9,1,6
60,13462565,Pate,Benet,3.6,1,8,7
61,92249766,Dav,Sheraton,8.8,10,5,9
62,65217255,Sidonnie,Thickin,5.4,6,3,6
