STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,21120454,LE CONG,DAT,0,0,0,0
2,12341234,Nguyen,A,0,0,0,0
3,20120471,Nguyen Van,A,0,0,0,0
4,20120484,Tran Van,B,0,0,0,0
5,12341231,Tran,Tho,0,0,0,0
6,20120470,Nguyen Van,Hao,0,0,0,0
7,12315516,Tran,Huu,0,0,0,0
8,12314515,Tran,Hung,0,0,0,0
9,20120789,Nguyen Thi,C,0,0,0,0
10,12341235,Tran,Nam,0,0,0,0
11,65569711,Masha,Mackison,0,0,0,0
12,72505323,Orlan,Clampton,0,0,0,0
13,43613800,Pam,Fittes,0,0,0,0
14,97407544,Angus,Ells,0,0,0,0
15,18886479,Shel,Cheal,0,0,0,0
16,68111890,Roth,Hunsworth,0,0,0,0
17,39156716,Robb,Oseman,0,0,0,0
18,60749293,Silvano,Hebner,0,0,0,0
19,78558387,Angelle,Bonsale,0,0,0,0
20,84111941,Carmita,Perview,0,0,0,0
21,12274378,Adrianna,Pearsey,0,0,0,0
22,10235996,Rhodie,Dodshon,0,0,0,0
23,24633332,Caroljean,Fazakerley,0,0,0,0
24,18541678,Allina,Castanho,0,0,0,0
25,31976386,Tulley,Edyson,0,0,0,0
26,50381073,Elonore,Caplis,0,0,0,0
27,16654901,Cahra,Gohn,0,0,0,0
28,16749384,Townie,Franscioni,0,0,0,0
29,79509937,Corinne,Alelsandrowicz,0,0,0,0
30,72891677,Kathe,Teal,0,0,0,0
