STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,57058914,Kirk,McQuorkel,0,0,0,0
2,42769437,Zorah,Kasper,0,0,0,0
3,87585921,Oralee,Clynmans,0,0,0,0
4,50039293,Franklin,Freshwater,0,0,0,0
5,16787540,Jobi,Darko,0,0,0,0
6,22609087,Marmaduke,Edler,0,0,0,0
7,80273505,Laurena,Deeth,0,0,0,0
8,72240882,Laurens,Widdall,0,0,0,0
9,17141741,Pearle,Rays,0,0,0,0
10,36639526,Homerus,Styan,0,0,0,0
11,95540289,Patricia,Myrkus,0,0,0,0
12,27082165,Micki,Grigoliis,0,0,0,0
13,61965587,Pennie,Doret,0,0,0,0
14,35089619,Minta,Roubay,0,0,0,0
15,46913517,Kellie,Blunsden,0,0,0,0
16,47583394,Jackie,Lean,0,0,0,0
17,41017036,Erastus,Mogey,0,0,0,0
18,13912741,Avram,Middlewick,0,0,0,0
19,95847121,Hobey,TRUE,0,0,0,0
20,93198071,Anton,Kinnach,0,0,0,0
21,50592170,Debbi,Mcwhinney,0,0,0,0
22,10748046,Georg,Nusche,0,0,0,0
23,41561985,Sadye,Symson,0,0,0,0
24,45628078,Rey,Mahy,0,0,0,0
25,13462565,Pate,Benet,0,0,0,0
26,92249766,Dav,Sheraton,0,0,0,0
27,65217255,Sidonnie,Thickin,0,0,0,0
28,39651282,Amabelle,Melchior,0,0,0,0
29,98883431,Leilah,Stimson,0,0,0,0
30,29261875,Sawyere,Westcarr,0,0,0,0
31,84794780,Lotti,Guymer,0,0,0,0
32,45889122,Paxton,Fitchen,0,0,0,0
33,30358273,Jacqueline,Degg,0,0,0,0
34,37070284,Hort,Bautiste,0,0,0,0
35,11924259,Cyrill,Tomaskunas,0,0,0,0
36,40492748,Arley,Stammers,0,0,0,0
37,80700928,Darren,Mullin,0,0,0,0
38,56478726,Conny,Haughey,0,0,0,0
39,11861644,Giuditta,Albrooke,0,0,0,0
40,68111890,Roth,Hunsworth,0,0,0,0
41,39156716,Robb,Oseman,0,0,0,0
42,60749293,Silvano,Hebner,0,0,0,0
43,78558387,Angelle,Bonsale,0,0,0,0
44,84111941,Carmita,Perview,0,0,0,0
45,12274378,Adrianna,Pearsey,0,0,0,0
46,10235996,Rhodie,Dodshon,0,0,0,0
47,24633332,Caroljean,Fazakerley,0,0,0,0
48,18541678,Allina,Castanho,0,0,0,0
49,31976386,Tulley,Edyson,0,0,0,0
50,50381073,Elonore,Caplis,0,0,0,0
51,16654901,Cahra,Gohn,0,0,0,0
