STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,55427781,Dede,Lineen,0,0,0,0
2,50361421,Ethelred,Tullett,0,0,0,0
3,38005593,Kevyn,Wynne,0,0,0,0
4,39005120,Teodoro,Buckle,0,0,0,0
5,58681156,Ave,Bertelmot,0,0,0,0
6,33142298,Marj,Binding,0,0,0,0
7,42791528,Skipper,Milby,0,0,0,0
8,58641378,Petey,Furze,0,0,0,0
9,35125355,Petey,Postles,0,0,0,0
10,56728219,Anjanette,Mc Meekan,0,0,0,0
11,54546534,Burton,Lenham,0,0,0,0
12,52069428,Flo,Girkin,0,0,0,0
13,53035823,Thorvald,Beaven,0,0,0,0
14,47253007,Lazare,Andrassy,0,0,0,0
15,40730358,Felic,Rushbrooke,0,0,0,0
16,44017436,Farand,Durnian,0,0,0,0
17,34418543,Giffard,Jouanot,0,0,0,0
18,55233532,Bell,Robuchon,0,0,0,0
19,36875042,Norbert,Trahmel,0,0,0,0
20,30040737,Howard,Lantaff,0,0,0,0
21,38026149,Dyane,Kerton,0,0,0,0
22,50849488,Emlyn,Paynton,0,0,0,0
23,44773512,Tadio,Hexam,0,0,0,0
24,50566916,Kylynn,Blackall,0,0,0,0
25,53218790,Alfonse,Allardyce,0,0,0,0
26,50855459,Simonette,Browne,0,0,0,0
27,44150990,Hyacintha,Seiffert,0,0,0,0
28,34911211,Halli,Lethbrig,0,0,0,0
29,48948958,Gillian,Blazeby,0,0,0,0
30,42744028,Lock,Ellerker,0,0,0,0
31,38363282,Drusie,Girardengo,0,0,0,0
32,55665463,Margot,Cauldwell,0,0,0,0
33,57045997,Rockwell,Castellet,0,0,0,0
34,33800901,Jeno,Beyne,0,0,0,0
35,52492844,Nikkie,Killoran,0,0,0,0
36,33588736,Joey,Clawley,0,0,0,0
37,51067518,Binny,Deners,0,0,0,0
38,37122932,Davida,Raspison,0,0,0,0
39,31061596,Edie,Cerro,0,0,0,0
40,54931860,Valentina,Paolino,0,0,0,0
41,30121630,Charmion,Dominik,0,0,0,0
42,48717174,Waverley,Perett,0,0,0,0
43,46047190,Mitch,Garza,0,0,0,0
44,35552183,Jaclin,Neeve,0,0,0,0
