STT,ID,First Name,Last Name,Total Mark, Final Mark, Midterm Mark, Other Mark
1,79509937,Corinne,Alelsandrowicz,0,0,0,0
2,72891677,Kathe,Teal,0,0,0,0
3,59120714,Koren,Colhoun,0,0,0,0
4,51922705,Drucie,Jellard,0,0,0,0
5,45736793,Ketty,Crothers,0,0,0,0
6,47701273,Lanna,Chang,0,0,0,0
7,38616695,Lars,Littlefield,0,0,0,0
8,55091799,Dana,Halfpenny,0,0,0,0
9,30579316,Mack,Moynihan,0,0,0,0
10,58106104,Gradeigh,Meechan,0,0,0,0
11,32164317,Rossie,Dunican,0,0,0,0
12,53578453,Kandy,Ferbrache,0,0,0,0
13,55695247,Rozella,Brunesco,0,0,0,0
14,37766083,Adina,Birkwood,0,0,0,0
15,38165172,Gino,Hughes,0,0,0,0
16,42794249,Leeland,Deverson,0,0,0,0
17,57467150,Gratia,Crispe,0,0,0,0
18,33910687,Kristofer,Redgrove,0,0,0,0
19,42699449,Siobhan,Chastanet,0,0,0,0
20,35888763,Mattheus,Lent,0,0,0,0
21,35095179,Tandie,Stoneley,0,0,0,0
22,49447834,Maria,Birbeck,0,0,0,0
23,39490843,Malchy,Armour,0,0,0,0
24,34924137,Madella,Perett,0,0,0,0
25,38115133,Merle,Le Merchant,0,0,0,0
26,59924374,Leena,Goldsworthy,0,0,0,0
27,46497505,Erin,Annion,0,0,0,0
28,55823559,Martin,Rolinson,0,0,0,0
29,58671692,Phoebe,Karpychev,0,0,0,0
30,54999499,Xylia,Trower,0,0,0,0
31,38676606,Hamel,Meace,0,0,0,0
32,32533908,Jacquelynn,Cave,0,0,0,0
33,44509738,Ramsey,Roscamps,0,0,0,0
34,48254684,Jaymee,Riccio,0,0,0,0
35,56038675,Rubin,Scutts,0,0,0,0
36,44436233,Isadore,Brislen,0,0,0,0
37,48945837,Elberta,Coole,0,0,0,0
38,51704544,Cathlene,MacGibbon,0,0,0,0
39,50661946,Giselbert,Robelin,0,0,0,0
40,38794168,Glynnis,Novelli,0,0,0,0
41,51005354,Stacie,Tidey,0,0,0,0
42,54205426,Layne,McNeice,0,0,0,0
43,37919991,Damon,Remmer,0,0,0,0
44,53617087,Roth,Tomovic,0,0,0,0
45,51139789,Odelinda,Grolmann,0,0,0,0
46,54775523,Petronille,Burnhard,0,0,0,0
47,54757589,Evangelina,Diego,0,0,0,0
48,49907872,Clair,Nutting,0,0,0,0
49,30848220,Faith,Woolway,0,0,0,0
50,44702795,Perrine,Scotchmoor,0,0,0,0
51,55427781,Dede,Lineen,0,0,0,0
52,50361421,Ethelred,Tullett,0,0,0,0
53,38005593,Kevyn,Wynne,0,0,0,0
54,39005120,Teodoro,Buckle,0,0,0,0
55,58681156,Ave,Bertelmot,0,0,0,0
56,33142298,Marj,Binding,0,0,0,0
